epoch,step,train_loss
0,1,478.4730224609375
0,3,384.30072021484375
0,5,272.3139953613281
0,7,88.59451293945312
0,9,993.7241821289062
0,11,172.44773864746094
0,13,749.8571166992188
0,15,293.55206298828125
1,17,428.2508544921875
1,19,334.77362060546875
1,21,225.67929077148438
1,23,55.31424331665039
1,25,941.1976318359375
1,27,137.06613159179688
1,29,703.5960693359375
1,31,252.89285278320312
2,33,382.1479797363281
2,35,290.2069396972656
2,37,184.56402587890625
2,39,30.4417724609375
2,41,891.6123046875
2,43,106.73468017578125
2,45,660.3447875976562
2,47,216.80865478515625
3,49,340.2757263183594
3,51,250.69297790527344
3,53,148.9960479736328
3,55,13.500791549682617
3,57,845.31103515625
3,59,81.31018829345703
3,61,620.2925415039062
3,63,185.20913696289062
4,65,302.6230773925781
4,67,216.07850646972656
4,69,118.69819641113281
4,71,3.6882543563842773
4,73,802.3565673828125
4,75,60.421539306640625
4,77,583.4176025390625
4,79,157.81153869628906
5,81,268.9920959472656
5,83,186.0340576171875
5,85,93.23641967773438
5,87,0.08316674828529358
5,89,762.68408203125
5,91,43.6146354675293
5,93,549.610595703125
5,95,134.26263427734375
6,97,239.11441040039062
6,99,160.1691131591797
6,101,72.12755584716797
6,103,1.7464615106582642
6,105,726.1805419921875
6,107,30.41671371459961
6,109,518.7301025390625
6,111,114.1913070678711
7,113,212.70013427734375
7,115,138.07888793945312
