epoch,step,train_loss
3,49,357.4061279296875
6,99,174.74679565429688
9,149,37.73522186279297
12,199,57.006961822509766
15,249,511.8510437011719
18,299,9.07461166381836
21,349,291.7997741699219
24,399,23.41246795654297
28,449,46.620750427246094
31,499,34.33005142211914
34,549,10.378233909606934
37,599,229.68606567382812
40,649,382.8917236328125
43,699,29.80103302001953
46,749,235.68128967285156
49,799,20.714027404785156
53,849,35.42725372314453
56,899,32.69685363769531
59,949,10.708163261413574
62,999,210.37071228027344
65,1049,349.2421875
68,1099,29.295316696166992
71,1149,210.9877166748047
74,1199,18.95612144470215
78,1249,30.74388313293457
81,1299,31.585403442382812
84,1349,9.460122108459473
87,1399,184.5519561767578
90,1449,318.09124755859375
93,1499,28.118061065673828
96,1549,187.66409301757812
99,1599,17.266048431396484
