epoch,step,train_loss
3,49,347.39385986328125
6,99,164.65870666503906
9,149,32.03089904785156
12,199,71.83029174804688
15,249,520.987548828125
18,299,10.620708465576172
21,349,300.8743896484375
24,399,24.173187255859375
28,449,48.23820114135742
31,499,34.74427032470703
34,549,11.115553855895996
37,599,242.24639892578125
40,649,396.3560791015625
43,699,30.39276123046875
46,749,245.87362670898438
49,799,21.46976089477539
53,849,37.3136100769043
56,899,33.139198303222656
59,949,11.276269912719727
62,999,221.27960205078125
65,1049,361.681884765625
68,1099,29.813810348510742
71,1149,220.26429748535156
74,1199,19.636451721191406
78,1249,32.43006896972656
81,1299,32.003475189208984
84,1349,9.974607467651367
87,1399,194.43289184570312
90,1449,329.5484313964844
93,1499,28.6102237701416
96,1549,196.13372802734375
99,1599,17.882755279541016
