epoch,step,train_loss
3,49,328.64178466796875
6,99,150.4427490234375
9,149,25.32999038696289
12,199,88.71460723876953
15,249,519.4598388671875
18,299,12.653395652770996
21,349,303.14764404296875
24,399,24.438148498535156
28,449,48.49343490600586
31,499,34.897605895996094
34,549,11.65872859954834
37,599,249.502685546875
40,649,403.02056884765625
43,699,30.763227462768555
46,749,250.9721221923828
49,799,21.852157592773438
53,849,38.24558639526367
56,899,33.356117248535156
59,949,11.569356918334961
62,999,226.74615478515625
65,1049,367.7651672363281
68,1099,30.075237274169922
71,1149,224.77838134765625
74,1199,19.96805191040039
78,1249,33.244056701660156
81,1299,32.202362060546875
84,1349,10.228079795837402
87,1399,199.21597290039062
90,1449,334.9949951171875
93,1499,28.84910774230957
96,1549,200.14996337890625
99,1599,18.175983428955078
